"name","nick_name","zip"
"Nathan Johnson","Sleepy","97404"
"Kelli Borushka","Katie","97322"
"Katie Whitehead","Kellie","97330"
"Don Gallogly","The Don","97301"
"James Burke","King James","97303"
"Talisa Soto","Soto Vocco","97215"
"Justin Fuller","Fuller","97303"
"Leonid Foksha","Leo","97302"
"Miles Morales","Spider Man","97301"
