Leverancier;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
&Maes B.V.;;;;;1;;1
.FABRIC;;;;;;2;2
2Xplain V.O.F.;;1;;;;;1
3MegaWatt Ontwerpers;;;;;;1;1
4Power B.V.;;;;;3;;3
7AM Den Haag B.V.;;;;;1;;1
A. Terlouw Consult;;;;;;1;1
Academy Pictures B.V.;;;;;;1;1
Adventure Valley Zoetermeer B.V.;;;;;1;;1
Adviesbureau Reit;;1;;;;;1
Advocatenkantoor Van de Loo;;;;;;1;1
Aeneas B.V.;;;;;;1;1
Aerophoto-Schiphol.nl;;;;;;1;1
Ag8 Productieservice;;;;;1;;1
Algemeen Groninger Persbureau Tammeling;;;;;;1;1
Aminata Cairo Consultancy;;;;;1;;1
Amsterdam University Press AUP B.V.;;;;;;1;1
Amsterdamse Carrière Dagen;;;;;1;;1
AnalitiQs B.V.;;;;;1;;1
Andale;;;;;;1;1
Andries was hier;;;;;1;;1
Anoniem_BZK_10;;2;;;;;2
Anoniem_BZK_141;;;;;;1;1
Anoniem_BZK_142;;;;;;1;1
Anoniem_BZK_149;;;;;;1;1
Anoniem_BZK_151;;;;;;1;1
Anoniem_BZK_157;;;;;;1;1
Anoniem_BZK_158;;;;;;2;2
Anoniem_BZK_159;;;;;;1;1
Anoniem_BZK_165;;;;;;1;1
Anoniem_BZK_188;;;;;;1;1
Anoniem_BZK_189;;;;;;1;1
Anoniem_BZK_190;;;;;;1;1
Anoniem_BZK_192;;;;;;1;1
Anoniem_BZK_193;;;;;;1;1
Anoniem_BZK_194;;;;;;1;1
Anoniem_BZK_196;;;;;;1;1
Anoniem_BZK_213;;;;;;2;2
Anoniem_BZK_228;;;;1;;;1
Anoniem_BZK_250;;;;;;1;1
Anoniem_BZK_252;;;;;;1;1
Anoniem_BZK_254;;1;;;;;1
Anoniem_BZK_255;;;;;1;;1
Anoniem_BZK_264;;;;;;1;1
Anoniem_BZK_265;;;;;;1;1
Anoniem_BZK_266;;;;;;1;1
Anoniem_BZK_279;;;;;;1;1
Anoniem_BZK_283;;;;;;1;1
Anoniem_BZK_29;;;;;;2;2
Anoniem_BZK_296;;1;;;;;1
Anoniem_BZK_298;;;;;2;;2
Anoniem_BZK_299;;;;;;1;1
Anoniem_BZK_301;;;;;;1;1
Anoniem_BZK_309;;;;;;2;2
Anoniem_BZK_314;;;;;;1;1
Anoniem_BZK_316;;;;;;1;1
Anoniem_BZK_318;;;;;3;;3
Anoniem_BZK_342;;;;;;1;1
Anoniem_BZK_344;;;;;;1;1
Anoniem_BZK_346;;;;;;2;2
Anoniem_BZK_371;;;;;;1;1
Anoniem_BZK_382;;;;;;2;2
Anoniem_BZK_402;;1;;;;;1
Anoniem_BZK_421;;;;;;1;1
Anoniem_BZK_428;;;;;1;;1
Anoniem_BZK_447;;;;;;1;1
Anoniem_BZK_62;;;;;;1;1
Anoniem_BZK_67;;;;;;1;1
Anoniem_BZK_68;;;;;;1;1
Anoniem_BZK_7;;;;;2;;2
Anoniem_BZK_70;;;;;;1;1
Anoniem_BZK_71;;;;;;1;1
Anoniem_BZK_73;;;;;;1;1
Anoniem_BZK_76;;;;;;1;1
Anoniem_BZK_78;;;;;;1;1
Anoniem_BZK_79;;;;;;1;1
Antea Nederland B.V.;;;;;3;;3
Antiquariaat Alfa Haganum;;1;;;;;1
Antiqueriaat W. de Goeij;;1;;;;;1
ANWB B.V.;;1;;;;;1
Argenta Consult;;;;;;1;1
Asset Health Dynamics B.V.;;;;;;2;2
Atos Nederland B.V.;;;;;;2;2
Audax Publishing B.V.;;1;;;;;1
Automotive Publishing B.V.;;;;;;2;2
AV Brothers B.V.;;;;;1;;1
AV&G B.V.;;;;;2;;2
Awor Coaching en Ontwikkeling BV;;;;;;2;2
B & T Expo Consultants;;;;;1;;1
B.V. Algemeen Nederlands Persbureau ANP;;;;;;2;2
B+B Vakmedianet B.V.;;1;;;;1;1
B2Bakery B.V.;;;;;1;;1
Baker Tilly (Netherlands) N.V.;;;;;;4;4
Balance B.V.;;;1;;;;1
Baljet Groep Events & Facility;;;;;;1;1
Bart Hoogveld beeldredactie & fotografie;;;;;;1;1
Bart Maat Fotografie;;;;;;1;1
Bart Versteeg fotograaf;;;;;;1;1
BDUmedia;;;;;;1;1
Bedrijfsbureau RSC B.V.;;1;;;;;1
BeeCeePee Holding B.V.;;1;;;;;1
Begeleider van Verandering;;;;;;1;1
Beroepsver. van Professionals in Sociaal Werk;;1;;;;;1
Best Secretariaat;;;;;;1;1
BKB;;;;;;1;1
Blauw Research B.V.;;;;;;2;2
BNH B.V.;;;;;;1;1
Bobbe International B.V.;;4;;;;1;4
bol.com B.V.;;1;;;;;1
Boom uitgevers Den Haag;;1;;;;;1
bosIP;;;;;;1;1
Bourgonje Geluid- en Lichtservice B.V.;;;;;7;;7
Brederode Expo B.V.;;;;;2;;2
Broekhuizen Communicatie;;;;;;2;2
Budgetgift.nl B.V.;;;;;;1;1
"Bureau ""Mevrouw de Voorzitter""";;;;;;1;1
Bureau Personal Development B.V.;;;;;;1;1
BureauTekst B.V.;;;;;;1;1
Buro BRAND Creative Factory B.V.;;;;;;1;1
Business Nieuws Holding B.V.;;;;;;2;2
BySpeech;;;;;;2;2
CAOP;;;;;3;1;4
Centraal Bureau voor Genealogie;;1;;;;;1
Charmaine Alberto;;;;;;1;1
Chev-A;;;;;2;;2
chriskesting.nl;;;;;;1;1
CNV Jongeren;;;;;1;;1
Coform B.V.;;;;;;1;1
Connected Information Systeem B.V.;;;;;;1;1
Connected Information Systems B.V.;;1;;;;1;1
ConnectTools B.V.;;;;;;1;1
Context creative studio;;;;;;1;1
Cooper Productions;;;;;;2;2
Coosto B.V.;;;;;;1;1
Coprose;;;;;;2;2
CopyShop BV.;;;;;;1;1
Corporate Travel Association;;1;;;;;1
Correctbook Europe B.V.;;;;;;1;1
Cre-Aid B.V.;;;;;;1;1
Crux Creaties;;;;;1;;1
Crystal Clear Translations;;;1;;;1;1
CS Opleidingen B.V.;;1;;;;;1
Cue Creative;;;;;1;;1
Cyber4Board B.V.;;;;;1;;1
Dankers & Frank;;1;;;;;1
DataAngels;;;;;2;;2
De Bankarie;;;;;;1;1
De Beeldunie;;;;;;1;1
De Broodfabriek;;;;;3;;3
De Galan Groep B.V.;;;;;1;;1
De Haagse Boekerij;;1;;;;;1
De Mevrouw Schrijft;;;;;;1;1
De Nieuwe Lijn B.V.;;;;;;3;3
De Ontwikkelgroep;;;;;;2;2
de Persgroep Nederland B.V.;;1;;;;;1
De Resolutie Rijswijk B.V.;;;;;1;;1
De Speld B.V.;;;;;;1;1
De Stadstuin I B.V.;;;;;1;;1
De Taalamazone;;;;;1;;1
De Toezichtsfluisteraar;;;;;1;;1
De Verandermotor;;;;;1;;1
De Vlas Transport B.V.;;;;;1;;1
De Volkskrant B.V.;;1;;;;;1
Den Bosch Evenementen B.V.;;;;;1;;1
den Heijer Uitgeverij;;;;;;1;1
Denkschets.nl;;;;;;1;1
Design Society (Fond);;;;;1;;1
Dezember;;;;;;1;1
Dialoog Tekstbur;;;;;;2;2
DNV GL Business Assurance;;1;;;;;1
Dokkumer Vlaggen Centrale B.V.;;;;;;1;1
DPG Media B.V.;;;;;;2;2
DPI;;;;;;3;3
Drents Prehistorische Vereniging;;1;;;;;1
Drukkerij Tripiti;;;;;;1;1
Drukland .nl/Simian B.V.;;;;1;;;1
Duel B.V.;;;;;;2;2
DUTCH GIRAFFE;;;;;;1;1
Dzjeng;;;;;1;;1
easy2rent B.V.;;;;;;1;1
Effect Business Events B.V.;;;;;2;;2
Emergentie;;;;;1;;1
EMMA Communicatie B.V.;;;;;;5;5
Employee Performance Group B.V.;;;;;;5;5
Epidemic Sound, Netherlands Branch;;;;;;2;2
ER;;;;;;2;2
Erasmus Universiteit Rotterdam;;;;;;1;1
Eric Burgers Tekst & Redactie;;;;;;1;1
Erik Jansen Fotografie;;;;;;2;2
Et Emergo;;1;;;;;1
Eurotext Vertaalbureau Leidschendam;;;;;;1;1
Evariste Producties;;;;;;1;1
Evite Services B.V.;;;;;1;;1
F.W. Advies B.V.;;1;;;;2;2
Filosofisch leerhuis Fiat lux;;;;;1;;1
firMM information/service design B.V.;;;;;;6;6
Fotografie : Paul Voorham;;;;;;1;1
FourSmileys;;1;;;;;1
Funk-e Animations B.V.;;;;;;1;1
Future Communication Consultants B.V.;;;;;;1;1
Gartner Nederland B.V.;;;;;1;;1
Genealogische Vereniging 'Klapwijk';;1;;;;;1
Geodan B.V.;;;;;;3;3
Gereformeerde kerk te Holten;;;;;;1;1
Geregeld;;;;;;2;2
GGN Mastering Credit B.V.;;;;;1;;1
Gielissen's Bedrijven B.V.;;;;;1;;1
Gijtenbeek Utrecht B.V.;;;;;;1;1
Global Talk Netherlands;;;1;;;;1
Good Work Company B.V.;;;;;;1;1
Grafisch Buro van Erkelens B.V.;;;;;;1;1
GW Cross Media B.V.;;;;;;1;1
H.R. Guest Fotografie;;;;;;1;1
Haagse Beek organisatieadvies B.V.;;1;;;1;;1
Hans Tak;;;;;;1;1
HappinessBureau;;;;;1;;1
hart@work;;;;;;2;2
HaskoningDHV Nederland B.V.;;;;;;1;1
hdb-tekst;;;;;;1;1
HE Den Haag B.V.;;;;;1;;1
Heart Connected;;;;;1;;1
Helder en Duidelijk;;;;;2;;2
Helemaal Hildy;;;;;;1;1
Hervormd Verenigings Gebouw;;;;;;1;1
Hesbak 2 B.V.;;;;;1;;1
Het Coachhuis B.V.;;1;;;;;1
Het Genootschap Amstelodamum;;1;;;;;1
HET IS MOOI WERK B.V.;;;;;;1;1
HIP Internet;;;;;;1;1
Holland Evenementen Groep B.V.;;;;;1;;1
Hollandse Hoogte B.V.;;;;;;2;2
Hotel Spoorzicht & Spa B.V.;;;;;;1;1
Houtschild Internationale Boekhandel B.V.;;1;;;;;1
HSE-NOW;;;;;1;;1
Huiswerk;;;;;;2;2
Hurts Support;;;;;2;;2
HVR PA/PR;;;;;;3;3
I.R.S.C.;;;;;2;;2
Ideeaanzee B.V.;;;;;;1;1
IFS audiovisueel B.V.;;;;;2;;2
in60seconds B.V.;;;;;;2;2
Incassobureau Plaggemars;;1;;;;;1
Indische Genealogische Vereniging;;1;;;;;1
Infoprojects;;;;;;1;1
Innovero Software Solutions B.V.;;;;;;1;1
Instituut voor Faalkunde;;;;;1;;1
Instituut voor Publieke Waarden B.V.;;;;;;1;1
Interimshop;;;;;1;;1
Intermax outsourcing;;;;;;1;1
Involve B.V.;;;;;1;;1
IPMA - NL;;1;;;;;1
ISS Integrated Facility Services B.V.;;;;;2;;2
ITO;;;;;1;;1
Jaarbeurs B.V.;;;;;2;1;2
Ja-maar® B.V.;;;;;;1;1
Jasmijn van Es;;;;;;1;1
Jean Klare, concepten en ontwerpen;;;;;;2;2
Jolanda Seinen Zorgmarketeer;;;;;1;;1
Jongbloed B.V.;;1;;;;;1
Jordy Wedding Illustratie & Vormgeving;;;;;;1;1
JVDT B.V. (Flatland);;;;;;1;1
JvK-Fotografie;;;;;;1;1
Kamera Express;;;;;;1;1
Kicks Promo B.V.;;;;;1;;1
Klaas Taselaar;;;;;3;;3
Kloosterhof Neer B.V.;;1;;;;;1
Knowledge Exchange B.V.;;;;;;2;2
Koeman Flowerbulbs B.V.;;;;;1;;1
Koetsenruijter Conflictman. en Bemiddeling;;;;;;1;1
Kokpit B.V.;;;;;;1;1
