Report_No,Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Firearm Used Flag,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
150057463,09/08/2015 12:00:00 AM,1:17,09/08/2015 12:00:00 AM,1:17,,,702,240,Auto Theft,321,PROSPECT AV and E TRUMAN RD,KANSAS CITY,64126,PJ7474,EPD,U,1,SUS,U,U,,N,"E PROSPECT KANSAS CITY, AV 64126
(39.0947, -94.5516)",54,3,7,95
150059325,08/21/2015 12:00:00 AM,21:45,08/21/2015 12:00:00 AM,21:43,,,702,240,Auto Theft,123,BROOKLYN AV and E TRUMAN RD,KANSAS CITY,64106,PJ1330,CPD,U,1,VIC,W,F,51,N,"E BROOKLYN KANSAS CITY, AV 64106
(39.0949, -94.5562)",54,3,7,95
150057463,09/08/2015 12:00:00 AM,1:17,09/08/2015 12:00:00 AM,1:17,,,702,240,Auto Theft,321,PROSPECT AV and E TRUMAN RD,KANSAS CITY,64126,PJ7474,EPD,U,1,VIC,W,M,42,N,"E PROSPECT KANSAS CITY, AV 64126
(39.0947, -94.5516)",54,3,7,95
150049895,07/18/2015 12:00:00 AM,15:29,07/17/2015 12:00:00 AM,22:00,,,702,240,Auto Theft,133,BROADWAY and WESTPORT RD,KANSAS CITY,64108,PJ3229,CPD,U,1,VIC,W,F,24,N,"BROADWAY KANSAS CITY64108
(39.0891, -94.5855)",125,4,7,92
150093992,12/31/2015 12:00:00 AM,13:15,12/22/2015 12:00:00 AM,21:30,12/23/2015 12:00:00 AM,13:30,702,240,Auto Theft,131,W ARMOUR BL and CENTRAL ST,KANSAS CITY,64111,PJ2749,CPD,U,1,VIC,B,M,23,N,"W ARMOUR KANSAS CITY, BL 64111
(39.0639, -94.5891)",32,4,7,50
150084944,11/24/2015 12:00:00 AM,14:12,11/24/2015 12:00:00 AM,14:12,,,799,,Auto Theft Outside S,635,N BENNINGTON AV and NE PARVIN RD,KANSAS CITY,64161,PC1128,SCP,U,1,VIC,,,,N,"N BENNINGTON AV KANSAS CITY, NE 64161
(39.1704, -94.503)",9,6,4,166
150059325,08/21/2015 12:00:00 AM,21:45,08/21/2015 12:00:00 AM,21:43,,,702,240,Auto Theft,123,BROOKLYN AV and E TRUMAN RD,KANSAS CITY,64106,PJ1330,CPD,U,1,SUS,W,F,42,N,"E BROOKLYN KANSAS CITY, AV 64106
(39.0949, -94.5562)",54,3,7,95
150042715,06/22/2015 12:00:00 AM,10:09,06/22/2015 12:00:00 AM,0:01,06/22/2015 12:00:00 AM,9:30,702,240,Auto Theft,314,BUDD PARK ESPLANADE and VAN BRUNT BL,KANSAS CITY,64127,PJ0344,EPD,U,1,SUS,U,U,,N,"BUDD PARK ESPLANADE BRUNT KANSAS CITY, BL 64127
(39.0956, -94.5483)",54,3,7,95
150049814,07/21/2015 12:00:00 AM,22:36,07/21/2015 12:00:00 AM,22:36,,,702,240,Auto Theft,211,6TH ST and GRAND AVE.,KANSAS CITY,64130,PJ4149,MPD,U,1,VIC,B,F,33,N,"6TH KANSAS CITY, ST 64130
(39.037, -94.5474)",175,3,7,157
150030291,05/05/2015 12:00:00 AM,11:22,05/05/2015 12:00:00 AM,11:22,,,799,,Auto Theft Outside S,311,N CLINTON PL and NORLEDGE AV,KANSAS CITY,64123,PJ0212,EPD,U,1,SUS,U,U,,N,"N CLINTON KANSAS CITY, PL 64123
(39.1161, -94.534)",202,4,7,76
150012846,02/23/2015 12:00:00 AM,12:41,02/23/2015 12:00:00 AM,12:40,,,799,,Auto Theft Outside S,544,BLUE PKWY W and NOLAND RD,KANSAS CITY,64133,PJ6239,SPD,U,1,VIC,U,U,,N,"BLUE PKWY W KANSAS CITY64133
(39.0074, -94.4634)",,,7,37
150006916,01/29/2015 12:00:00 AM,12:59,01/29/2015 12:00:00 AM,12:59,,,799,,Auto Theft Outside S,243,E GREGORY BL and OLDHAM RD,KANSAS CITY,64130,PJ5603,MPD,N,1,VIC,U,U,,N,"E GREGORY KANSAS CITY, BL 64130
(38.9945, -94.5223)",52,2,7,151
150008341,02/04/2015 12:00:00 AM,10:41,02/02/2015 12:00:00 AM,21:35,02/04/2015 12:00:00 AM,10:15,702,240,Auto Theft,242,BRUCE R WATKINS DR and E GREGORY BL,KANSAS CITY,64132,PJ5548,MPD,U,1,VIC,W,M,34,N,"E BRUCE R WATKINS BL KANSAS CITY, DR 64132
(38.998, -94.556)",131,2,7,151
150027479,04/24/2015 12:00:00 AM,2:59,04/24/2015 12:00:00 AM,2:55,04/24/2015 12:00:00 AM,3:05,702,240,Auto Theft,121,HARRISON ST and PACIFIC ST,KANSAS CITY,64151,PJ0481,CPD,U,1,VIC,W,M,27,N,"HARRISON KANSAS CITY, ST 64151
(39.1086, -94.5716)",102,4,7,75
150067394,09/20/2015 12:00:00 AM,9:54,09/18/2015 12:00:00 AM,16:00,09/20/2015 12:00:00 AM,9:54,702,240,Auto Theft,141,E ARMOUR BL and KENWOOD AV,KANSAS CITY,64109,PJ2764,CPD,U,1,VIC,W,M,25,N,"E ARMOUR KANSAS CITY, BL 64109
(39.0635, -94.5775)",41,4,7,19
150055343,08/07/2015 12:00:00 AM,11:33,08/06/2015 12:00:00 AM,6:30,08/07/2015 12:00:00 AM,9:00,702,240,Auto Theft,125,BRUCE R WATKINS DR and E LINWOOD BL,KANSAS CITY,64109,PJ2555,CPD,U,1,SUS,U,U,,N,"E BRUCE R WATKINS BL KANSAS CITY, DR 64109
(39.0684, -94.561)",26,3,7,19
140063257,03/25/2015 12:00:00 AM,11:26,,,,,702,240,Auto Theft,,,,99999,,,U,1,VIC,B,F,19,N,"99999(0.0, 0.0)",,,,
150019347,03/21/2015 12:00:00 AM,21:52,03/21/2015 12:00:00 AM,21:52,,,799,,Auto Theft Outside S,331,VICTOR ST and WALROND AV,KANSAS CITY,64128,PJ2340,EPD,U,1,VIC,W,F,,N,"VICTOR KANSAS CITY, ST 64128
(39.0735, -94.5461)",77,3,7,36
150000253,01/02/2015 12:00:00 AM,0:42,01/02/2015 12:00:00 AM,0:41,,,799,,Auto Theft Outside S,311,N MERSINGTON AV and WINDSOR AV,KANSAS CITY,64124,PJ0260,EPD,U,1,VIC,U,M,,N,"N MERSINGTON KANSAS CITY, AV 64124
(39.1141, -94.5362)",202,4,7,76
150076837,10/25/2015 12:00:00 AM,11:04,10/24/2015 12:00:00 AM,21:00,10/25/2015 12:00:00 AM,9:00,702,240,Auto Theft,133,CENTRAL ST and WESTPORT RD,KANSAS CITY,64111,PJ3139,CPD,U,1,SUS,U,U,,N,"CENTRAL KANSAS CITY, ST 64111
(39.0539, -94.5893)",42,4,7,50
150088249,12/09/2015 12:00:00 AM,23:03,12/09/2015 12:00:00 AM,23:03,,,702,240,Auto Theft,331,BENTON BL and VICTOR ST,KANSAS CITY,64128,PJ2331,EPD,U,1,VIC,W,F,56,N,"BENTON KANSAS CITY, BL 64128
(39.0737, -94.5492)",77,3,7,36
150065130,09/21/2015 12:00:00 AM,11:03,09/12/2015 12:00:00 AM,12:15,09/21/2015 12:00:00 AM,10:30,702,240,Auto Theft,314,ANDERSON AV and VAN BRUNT BL,KANSAS CITY,64123,PJ0344,EPD,U,1,SUS,U,U,,N,"ANDERSON BRUNT BL KANSAS CITY, AV 64123
(39.1109, -94.5258)",192,4,7,76
150024811,04/13/2015 12:00:00 AM,16:38,04/09/2015 12:00:00 AM,16:00,04/10/2015 12:00:00 AM,8:00,702,240,Auto Theft,134,HOLLY ST and WARD PKWY S,KANSAS CITY,64111,PJ3895,CPD,U,1,VIC,W,F,21,N,"HOLLY S KANSAS CITY, ST 64111
(39.0517, -94.5958)",42,4,7,50
150028737,04/29/2015 12:00:00 AM,7:49,04/29/2015 12:00:00 AM,7:49,,,799,,Auto Theft Outside S,221,PASEO and VOLKER BL,KANSAS CITY,64127,PJ3855,MPD,U,1,VIC,B,M,47,N,"PASEO KANSAS CITY, BL 64127
(39.0956, -94.5483)",54,3,7,95
