Report_No,Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Firearm Used Flag,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
150057463,09/08/2015 12:00:00 AM,1:17,09/08/2015 12:00:00 AM,1:17,,,702,240,Auto Theft,321,PROSPECT AV and E TRUMAN RD,KANSAS CITY,64126,PJ7474,EPD,U,1,SUS,U,U,,N,"E PROSPECT KANSAS CITY, AV 64126
(39.0947, -94.5516)",54,3,7,95
150059325,08/21/2015 12:00:00 AM,21:45,08/21/2015 12:00:00 AM,21:43,,,702,240,Auto Theft,123,BROOKLYN AV and E TRUMAN RD,KANSAS CITY,64106,PJ1330,CPD,U,1,VIC,W,F,51,N,"E BROOKLYN KANSAS CITY, AV 64106
(39.0949, -94.5562)",54,3,7,95
150009910,02/10/2015 12:00:00 AM,12:14,02/10/2015 12:00:00 AM,9:50,02/10/2015 12:00:00 AM,10:12,640,23F,Stealing From Auto,311,E FRONT ST and RIVER FRONT RD,KANSAS CITY,64106,PJ7472,EPD,U,1,VIC,U,F,39,N,"E FRONT KANSAS CITY, ST 64106
(39.1156, -94.5745)",87,4,7,144
150036818,05/30/2015 12:00:00 AM,17:17,05/29/2015 12:00:00 AM,14:00,05/30/2015 12:00:00 AM,16:30,640,23F,Stealing From Auto,221,MAIN ST and WARD PK N,KANSAS CITY,64112,PJ3851,MPD,U,1,SUS,U,U,,N,"MAIN N KANSAS CITY, ST 64112
(39.04, -94.587)",157,4,7,44
150062902,09/04/2015 12:00:00 AM,6:26,09/04/2015 12:00:00 AM,6:26,,,690,23H,Stealing All Other,635,NE PARVIN RD and SEARCY CREEK PARKWAY RA,KANSAS CITY,64116,PC1146,SCP,N,1,SUS,W,M,,N,"PARVIN RD RA KANSAS CITY, NE 64116
(39.1445, -94.5737)",,,4,167
150030048,05/04/2015 12:00:00 AM,13:35,04/27/2015 12:00:00 AM,7:00,05/01/2015 12:00:00 AM,13:00,690,23H,Stealing All Other,633,NE ENGLEWOOD RD and N TROOST AVE,KANSAS CITY,64068,PC0743,SCP,U,1,VIC,,,,N,"N ENGLEWOOD RD KANSAS CITY, NE 64068
(39.1956, -94.5668)",82,6,4,154
150000698,01/03/2015 12:00:00 AM,23:08,01/03/2015 12:00:00 AM,23:05,,,302,120,Armed Robbery,241,E GREGORY BL and WABASH AV,KANSAS CITY,64132,PJ5393,MPD,U,2,SUS,B,M,,Y,"E GREGORY KANSAS CITY, BL 64132
(38.9981, -94.5581)",49,2,7,151
150083333,11/18/2015 12:00:00 AM,8:39,10/14/2015 12:00:00 AM,8:30,,,690,23H,Stealing All Other,331,E LINWOOD BL and PROSPECT AV,KANSAS CITY,64127,PJ2572,EPD,U,1,SUS,U,U,,N,"E LINWOOD KANSAS CITY, BL 64127
(39.068, -94.5529)",67,3,7,36
150022328,04/03/2015 12:00:00 AM,6:52,04/02/2015 12:00:00 AM,15:30,04/03/2015 12:00:00 AM,6:30,690,23H,Stealing All Other,425,NW BARRY RD and N CHILDRESS AVE,KANSAS CITY,64153,PP0333,NPD,U,1,VIC,,,,N,"N BARRY RD KANSAS CITY, NW 64153
(39.2471, -94.715)",203,5,3,77
150074390,10/16/2015 12:00:00 AM,2:48,10/16/2015 12:00:00 AM,2:18,,,301,120,Strong Arm Robbery,133,PENNSYLVANIA AV and WESTPORT RD,KANSAS CITY,64111,PJ3218,CPD,U,2,SUS,U,U,,N,"PENNSYLVANIA KANSAS CITY, AV 64111
(39.0529, -94.5915)",42,4,7,50
150039600,06/10/2015 12:00:00 AM,14:08,06/08/2015 12:00:00 AM,16:00,06/10/2015 12:00:00 AM,11:00,1401,290,Property Damage,132,E ARMOUR BLVD and MCGEE ST,KANSAS CITY,64111,PJ2757,CPD,U,1,SUS,U,U,,N,"E ARMOUR BLVD KANSAS CITY64111
(39.0637, -94.5822)",2,4,7,50
150063974,09/08/2015 12:00:00 AM,10:42,09/08/2015 12:00:00 AM,9:45,09/08/2015 12:00:00 AM,10:15,640,23F,Stealing From Auto,421,NW BARRY RD and N CONGRESS AV,KANSAS CITY,64153,PP0342,NPD,N,2,VIC,W,F,30,N,"N BARRY RD KANSAS CITY, NW 64153
(39.247, -94.6684)",184,5,3,130
150057463,09/08/2015 12:00:00 AM,1:17,09/08/2015 12:00:00 AM,1:17,,,702,240,Auto Theft,321,PROSPECT AV and E TRUMAN RD,KANSAS CITY,64126,PJ7474,EPD,U,1,VIC,W,M,42,N,"E PROSPECT KANSAS CITY, AV 64126
(39.0947, -94.5516)",54,3,7,95
150044561,06/29/2015 12:00:00 AM,0:43,06/29/2015 12:00:00 AM,0:20,,,302,120,Armed Robbery,121,MAPLE BL and E MISSOURI AV,KANSAS CITY,64124,PJ0349,CPD,U,2,SUS,B,M,,Y,"E MAPLE KANSAS CITY, BL 64124
(39.1092, -94.5584)",135,3,7,70
150051784,07/25/2015 12:00:00 AM,2:46,07/25/2015 12:00:00 AM,2:46,07/25/2015 12:00:00 AM,2:56,302,120,Armed Robbery,133,BROADWAY and J C NICHOLS PK,KANSAS CITY,64111,PJ3402,CPD,U,1,SUS,U,M,,Y,"BROADWAY KANSAS CITY64111
(39.0494, -94.5883)",42,4,7,50
150082489,11/15/2015 12:00:00 AM,1:23,11/15/2015 12:00:00 AM,1:23,,,1352,280,Stolen Property OFFE,322,E TRUMAN RD and VAN BRUNT BL,KANSAS CITY,64126,PJ1285,EPD,U,1,VIC,W,M,,N,"E TRUMAN BRUNT BL KANSAS CITY, RD 64126
(39.0942, -94.5234)",17,3,7,95
150087026,12/02/2015 12:00:00 AM,22:21,12/02/2015 12:00:00 AM,22:15,,,302,120,Armed Robbery,331,E LINWOOD BL and MERSINGTON AV,KANSAS CITY,64127,PJ2590,EPD,N,1,VIC,B,M,22,Y,"E LINWOOD KANSAS CITY, BL 64127
(39.0676, -94.538)",115,3,7,36
150022410,04/03/2015 12:00:00 AM,13:47,04/03/2015 12:00:00 AM,13:45,,,1401,290,Property Damage,544,E BANNISTER RD and NOLAND RD,KANSAS CITY,64134,PJ6648,SPD,N,1,SUS,U,U,,N,"E BANNISTER KANSAS CITY, RD 64134
(38.9453, -94.4262)",227,2,7,4
150017652,03/14/2015 12:00:00 AM,17:25,03/13/2015 12:00:00 AM,19:30,03/14/2015 12:00:00 AM,17:00,650,23G,Stealing Auto Parts/,132,E ARMOUR BL and MCGEE ST,KANSAS CITY,64111,PJ2757,CPD,U,1,SUS,U,U,,N,"E ARMOUR KANSAS CITY, BL 64111
(39.0637, -94.5822)",2,4,7,50
150087497,12/04/2015 12:00:00 AM,18:40,12/04/2015 12:00:00 AM,16:45,12/04/2015 12:00:00 AM,17:05,640,23F,Stealing From Auto,533,HOLMES RD and E RED BRIDGE RD,KANSAS CITY,64137,PJ6959,SPD,U,1,SUS,U,U,,N,"E HOLMES KANSAS CITY, RD 64137
(38.9257, -94.5834)",136,1,7,163
150060418,08/26/2015 12:00:00 AM,0:42,08/26/2015 12:00:00 AM,0:30,,,301,120,Strong Arm Robbery,121,INDEPENDENCE AV and PROSPECT AV,KANSAS CITY,64127,PJ0573,CPD,U,1,SUS,B,M,,N,"INDEPENDENCE KANSAS CITY, AV 64127
(39.1063, -94.5511)",109,3,7,70
150074919,10/18/2015 12:00:00 AM,4:38,10/18/2015 12:00:00 AM,4:38,,,302,120,Armed Robbery,121,BROOKLYN AV and INDEPENDENCE AV,KANSAS CITY,64123,PJ0569,CPD,U,1,VIC,U,M,24,N,"BROOKLYN KANSAS CITY, AV 64123
(39.1065, -94.5557)",135,3,7,70
150068880,09/25/2015 12:00:00 AM,14:40,09/24/2015 12:00:00 AM,15:45,09/24/2015 12:00:00 AM,16:15,690,23H,Stealing All Other,341,MANCHESTER TRFY and E TRUMAN RD,KANSAS CITY,64126,PJ1373,EPD,N,1,SUS,U,U,,N,"E MANCHESTER TRFY KANSAS CITY64126
(39.0933, -94.4925)",55,3,7,94
