Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Firearm Used Flag,Location,Neighborhood Census,Council Districts,County Boundary,Zip Codes
180035722,05/20/2018,03:32,05/20/2018,03:32,,,1352,280,Stolen Property OFFE,332,E 35 ST and SOUTH BENTON AV,KANSAS CITY,64130,PJ2803,EPD,U,1,ARR,B,M,,N,"35 ST and SOUTH BENTON AV
KANSAS CITY 64130",,,,
180036600,05/16/2018,09:13,05/16/2018,01:00,05/16/2018,09:13,702,240,Auto Theft,111,1200  JEFFERSON ST,KANSAS CITY,64105,PJ1077,CPD,U,1,SUS,U,U,,N,"1200 JEFFERSON ST
KANSAS CITY 64105
(39.100155, -94.592275)",185,4,7,72
180037941,05/21/2018,07:44,05/20/2018,23:49,,,1401,290,Property Damage,111,600  CENTRAL ST,KANSAS CITY,64105,PJ0650,CPD,U,1,SUS,U,U,,N,"600 CENTRAL ST
KANSAS CITY 64105
(39.106247, -94.586119)",5,4,7,72
180035579,05/12/2018,14:32,05/12/2018,14:32,,,501,220,Burglary - Residence,543,7900  LONGVIEW RD,KANSAS CITY,99999,PJ7202,SPD,Y,1,VIC,W,F,37,N,"7900 LONGVIEW RD
KANSAS CITY 99999
(38.914804, -94.499704)",217,1,7,143
180038887,05/24/2018,06:56,05/23/2018,21:00,05/24/2018,06:30,1401,290,Property Damage,421,7400  NW 78 ST,KANSAS CITY,64152,PP0441,NPD,N,1,VIC,U,F,42,N,"7400 NW 78 ST
KANSAS CITY 64152
(39.238112, -94.666002)",69,5,3,77
180038044,05/21/2018,13:27,05/21/2018,13:27,,,501,220,Burglary - Residence,231,7900  WASHINGTON ST,KANSAS CITY,64114,PJ5827,MPD,U,1,SUS,B,M,18,N,"7900 WASHINGTON ST
KANSAS CITY 64114
(38.98488, -94.595656)",141,1,7,162
180038756,05/23/2018,16:25,05/21/2018,22:00,05/22/2018,17:00,502,220,Burglary - Non Resid,532,9600  MARION RIDGE DR,KANSAS CITY,64137,PJ6660,SPD,U,1,SUS,U,U,,N,"9600 MARION RIDGE DR
KANSAS CITY 64137
(38.950727, -94.526719)",108,2,7,149
180037224,05/18/2018,10:29,05/16/2018,20:30,05/17/2018,18:30,702,240,Auto Theft,212,BLUE PK W and I 435 HW,KANSAS CITY,64133,PJ4521,MPD,U,1,SUS,U,U,,N,"435 HW
KANSAS CITY 64133",,,,
180052742,07/11/2018,16:39,07/11/2018,16:39,,,301,120,Strong Arm Robbery,334,4400  BENTON BL,KANSAS CITY,64127,PJ3600,EPD,U,3,SUS,B,F,30,N,"4400 BENTON
BL KANSAS CITY 64127",,,,
180017912,03/08/2018,07:59,02/23/2018,17:30,03/08/2018,07:00,502,220,Burglary - Non Resid,312,6200  CONNECTICUT AV,KANSAS CITY,64120,PJ0039,EPD,U,1,SUS,U,U,,N,"6200 CONNECTICUT AV
KANSAS CITY 64120
(39.132702, -94.508515)",53,4,7,144
180021565,03/22/2018,05:45,03/21/2018,23:45,03/22/2018,01:20,502,220,Burglary - Non Resid,121,1600  DORA ST,KANSAS CITY,64106,PJ0326,CPD,U,1,VIC,,,,N,"1600 DORA ST
KANSAS CITY 64106
(39.114911, -94.56183)",135,3,7,144
180020181,03/16/2018,14:34,03/16/2018,14:34,,,1401,290,Property Damage,124,2500  EUCLID AV,KANSAS CITY,64127,PJ2090,CPD,U,1,SUS,U,U,,N,"2500 EUCLID AV
KANSAS CITY 64127
(39.080833, -94.55929)",234,3,7,95
180022422,03/25/2018,12:53,03/25/2018,04:00,03/25/2018,07:00,702,240,Auto Theft,544,12300  E 78 ST,KANSAS CITY,64139,PJ5964,SPD,U,1,SUS,U,U,,N,"12300 E 78 ST
KANSAS CITY 64139",,,,
180021465,03/21/2018,17:54,03/21/2018,14:10,,,1401,290,Property Damage,333,4100  COLLEGE AV,KANSAS CITY,64130,PJ3403,EPD,U,1,SUS,B,F,29,N,"4100 COLLEGE AV
KANSAS CITY 64130
(39.051551, -94.545707)",68,3,7,157
180021307,03/21/2018,09:00,03/20/2018,18:00,03/21/2018,08:30,1401,290,Property Damage,642,3200  NE 83 ST,KANSAS CITY,64119,PC0376,SCP,U,1,SUS,U,U,99,N,"3200 NE 83 ST
KANSAS CITY 64119
(39.244092, -94.540424)",164,6,4,135
180001382,01/06/2018,16:28,01/06/2018,09:00,01/06/2018,16:00,1401,290,Property Damage,243,7600  E 85 TE,KANSAS CITY,64131,PJ6158,MPD,U,1,SUS,U,U,,N,"7600 E 85
TE KANSAS CITY 64131",,,,
180064811,08/23/2018,04:29,08/23/2018,04:29,,,302,120,Armed Robbery,132,3800  BROADWAY BL,KANSAS CITY,64111,PJ3045,CPD,U,1,VIC,,,,Y,"3800 BROADWAY
BL KANSAS CITY 64111",,,,
180030926,04/26/2018,12:00,04/26/2018,10:00,04/26/2018,11:00,702,240,Auto Theft,324,E 27 ST and COLORADO AV,KANSAS CITY,64127,PJ2221,EPD,N,1,SUS,U,U,,N,"27 ST and COLORADO AV
KANSAS CITY 64127",,,,
180031863,05/01/2018,12:21,04/29/2018,23:15,04/29/2018,23:30,702,240,Auto Theft,636,7800  NE 38 ST,KANSAS CITY,64161,PC1268,SCP,U,1,VIC,,,,N,"7800 NE 38 ST
KANSAS CITY 64161
(39.163595, -94.489417)",119,6,4,89
180033629,05/06/2018,01:30,05/01/2018,17:30,05/01/2018,20:30,702,240,Auto Theft,115,2400  GILLHAM ST,KANSAS CITY,64109,PJ1880,CPD,U,1,VIC,W,F,34,N,"2400 GILLHAM ST
KANSAS CITY 64109",,,,
180032689,05/02/2018,19:07,05/02/2018,19:07,,,1401,290,Property Damage,636,7600  NE 51 ST,KANSAS CITY,64119,PC0893,SCP,U,1,VIC,W,M,32,N,"7600 NE 51 ST
KANSAS CITY 64119
(39.184676, -94.491209)",22,6,4,135
180033626,05/06/2018,01:05,05/06/2018,01:03,,,302,120,Armed Robbery,111,W 10 ST and JEFFERSON ST,KANSAS CITY,64111,PJ0760,CPD,U,1,VIC,B,F,55,Y,"10 ST and JEFFERSON ST
KANSAS CITY 64111",,,,
180032769,05/03/2018,07:30,05/02/2018,21:45,05/03/2018,07:00,1401,290,Property Damage,343,3600  ELMWOOD AV,KANSAS CITY,64128,PJ2981,EPD,U,1,SUS,U,U,,N,"3600 ELMWOOD AV
KANSAS CITY 64128
(39.059993, -94.530272)",208,3,7,36
180090881,11/25/2018,03:02,11/25/2018,03:00,,,302,120,Armed Robbery,632,4200  N ANTIOCH RD,KANSAS CITY,64116,PC1221,SCP,U,2,SUS,U,U,,Y,"4200 N ANTIOCH RD
KANSAS CITY 64116",,,,
180037664,05/20/2018,00:16,05/20/2018,00:08,,,502,220,Burglary - Non Resid,233,8400  STATE LINE RD,KANSAS CITY,64114,PJ6044,MPD,U,2,SUS,U,U,,N,"8400 STATE LINE RD
KANSAS CITY 64114",,,,
180026496,04/10/2018,00:49,04/09/2018,19:00,04/10/2018,00:40,502,220,Burglary - Non Resid,243,7500  BLUE RIVER RD,KANSAS CITY,64138,PJ5721,MPD,U,1,SUS,W,M,53,N,"7500 BLUE RIVER RD
KANSAS CITY 64138
(38.988107, -94.52799)",10,2,7,151
180026741,04/10/2018,22:18,04/10/2018,22:18,,,1401,290,Property Damage,542,11300  MANCHESTER AV,KANSAS CITY,64134,PJ7122,SPD,U,1,SUS,U,U,,N,"11300 MANCHESTER AV
KANSAS CITY 64134
(38.917996, -94.498626)",190,1,7,143
180025853,04/07/2018,14:00,04/06/2018,21:00,04/07/2018,08:00,501,220,Burglary - Residence,314,100  CHELSEA AV,KANSAS CITY,64123,PJ0343,EPD,U,1,SUS,U,U,,N,"100 CHELSEA AV
KANSAS CITY 64123
(39.112532, -94.524633)",192,4,7,76
180027126,04/12/2018,09:20,04/11/2018,18:00,04/11/2018,22:40,501,220,Burglary - Residence,343,3200  BRIGHTON AV,KANSAS CITY,64128,PJ2655,EPD,U,1,SUS,U,U,,N,"3200 BRIGHTON AV
KANSAS CITY 64128
(39.066234, -94.525822)",122,3,7,36
