"a_employee_number","e_gender","a_activity_status","a_location_primary","a_job_class_code","a_pay_type","a_location","a_bargain_unit","jb_job_calc_code","a_position_code","s_days_per_year","s_period_hours","s_hours_per_day","s_pay_periods","s_frequency","s_pay_scale","a_salary_annual","s_period_salary","s_daily_rate","s_hourly_rate","a_org","a_object","s_d_proj","s_start_date","s_end_date","s_reference_salary","a_base_pay","s_salary_job_pay","s_line_pay_amount","s_daily_rate_jb","s_hourly_rate_jp","s_status","s_emp_pay_type","s_hours_per_year","s_days_per_period","a_job_class_descsh","a_job_class_desc","jb_status","jb_pay_basis","jb_hrs_per_day","jb_hrs_per_yr","jb_employee_type","a_bargain_desc_sh","a_bargain_desc","a_location_desc_sh","a_location_desc","s_inactive","s_fulltime_percent","ch_calendar_code","s_work_start_date","s_work_end_date"
"7","Male","A","11","6000","100","11","6000","21","600000006","260.00","86.67","8.00","24.0000","S","S","16830.00","701.25","64.7308","8.0910","01115011","400007",,"2019-01-09T00:00:00.000","9999-12-31T00:00:00.000","16830.00","Y","16830.00","701.25","64.7308","8.0910","1",,"2080.00","0.00","COUNCILMBR","COUNCILMEMBER",,"S","8.00","2080.00",,"CTY COUL","CITY COUNCIL","CITY CNCL","CITY COUNCIL","A","1.0000",,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000"
"10","Male","A","10","6005","100","10","6000","21","600500001","260.00","81.25","7.50","24.0000","S","S","46500.00","1937.50","178.8462","23.8462","01101011","400007",,"2015-01-14T00:00:00.000","9999-12-31T00:00:00.000","46500.00","Y","46500.00","1937.50","178.8462","23.8462","1",,"1950.00","0.00","MAYOR","MAYOR",,"S","8.00","2080.00",,"CTY COUL","CITY COUNCIL","MAYOR","MAYOR","A","1.0000",,"2015-01-14T00:00:00.000","9999-12-31T00:00:00.000"
"21","Female","A","23","1200","100","23","1000","32","120000006","260.00","81.25","7.50","24.0000","S","A","77326.21","3221.93","297.4085","39.6545",,,,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000","77326.21","Y","77326.21","3221.93","297.4085","39.6545","1",,"1950.00","10.83","EXE SEC II","EXECUTIVE SECRETARY II",,,"0.00","0.00",,"LOC 1021","SEIU LOCAL 1021","PW","PUBLIC WORKS DEPARTMENT","A","1.0000",,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000"
"22","Male","A","26","1361","100","26","1000","32","136100002","260.00","81.25","7.50","24.0000","S","A","51653.76","2152.24","198.6683","26.4891","40864181","400003",,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000","51653.76","Y","51653.76","2152.24","198.6683","26.4891","1",,"1950.00","10.83","SR CTV P A","SENIOR CABLE TV PROD ASSISTANT",,,"0.00","0.00",,"LOC 1021","SEIU LOCAL 1021","IT","INFORMATION TECHNOLOGY","A","1.0000",,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000"
"30","Female","A","11","2466","100","11","2000","32","246600001","260.00","81.25","7.50","24.0000","S","A","103878.84","4328.29","399.5340","53.2712","01115011","400002",,"2009-12-01T00:00:00.000","9999-12-31T00:00:00.000","103878.84","Y","103878.84","4328.29","399.5340","53.2712","1",,"1950.00","10.83","SEN ADM AN","SENIOR ADMINISTRATIVE ANALYST",,,"0.00","0.00",,"LOC 21","IFPTE LOCAL 21","CITY CNCL","CITY COUNCIL","A","1.0000",,"2009-12-01T00:00:00.000","9999-12-31T00:00:00.000"
"34","Male","A","26","2096","100","26","2000","32","209600001","260.00","81.25","7.50","24.0000","S","A","96825.58","4034.40","372.4061","49.6541","40864181","400002",,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000","96825.58","Y","96825.58","4034.40","372.4061","49.6541","1",,"1950.00","10.83","CABL TV MG","CABLE TELEVISION MANAGER",,,"0.00","0.00",,"LOC 21","IFPTE LOCAL 21","IT","INFORMATION TECHNOLOGY","A","1.0000",,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000"
"48","Male","A","19","2540","100","19","2000","32","254000001","260.00","81.25","7.50","24.0000","S","A","107171.56","4465.48","412.1983","54.9598",,,,"2013-11-11T00:00:00.000","9999-12-31T00:00:00.000","107171.56","Y","107171.56","4465.48","412.1983","54.9598","1",,"1950.00","10.83","SYS ADMIN","SYSTEMS ADMINISTRATOR",,,"0.00","0.00",,"LOC 21","IFPTE LOCAL 21","POLICE","POLICE","A","1.0000",,"2013-11-11T00:00:00.000","9999-12-31T00:00:00.000"
"50","Male","A","26","1369","100","26","1000","32","136900001","260.00","81.25","7.50","24.0000","S","A","80861.79","3369.24","311.0069","41.4676","01262117","400003",,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000","80861.79","Y","80861.79","3369.24","311.0069","41.4676","1",,"1950.00","10.83","TELE/RD SP","TELEPHONE RADIO SPECIALIST",,,"0.00","0.00",,"LOC 1021","SEIU LOCAL 1021","IT","INFORMATION TECHNOLOGY","A","1.0000",,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000"
"51","Female","A","26","4145","100","26","4000","21","414500001","260.00","81.25","7.50","24.0000","S","S","172368.00","7182.00","662.9538","88.3938",,,,"2009-07-01T00:00:00.000","9999-12-31T00:00:00.000","172368.00","Y","172368.00","7182.00","662.9538","88.3938","1",,"1950.00","0.00","IT DIR","INFORMATION TECHNOLOGY DIR",,"S","7.50","1950.00",,"EXE MNGMNT","EXECUTIVE MANAGEMENT","IT","INFORMATION TECHNOLOGY","A","1.0000",,"2009-07-01T00:00:00.000","9999-12-31T00:00:00.000"
"55","Male","A","26","2515","100","26","2000","32","251500001","260.00","81.25","7.50","24.0000","S","A","118256.92","4927.37","454.8343","60.6446","01262417","400002",,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000","118256.92","Y","118256.92","4927.37","454.8343","60.6446","1",,"1950.00","10.83","SEN PRG AN","SENIOR PROGRAMMER ANALYST",,,"0.00","0.00",,"LOC 21","IFPTE LOCAL 21","IT","INFORMATION TECHNOLOGY","A","1.0000",,"2008-07-01T00:00:00.000","9999-12-31T00:00:00.000"
