"credentialid","name","type","businessname","dba","fullcredentialcode","credentialtype","credentialnumber","credentialsubcategory","credential","status","statusreason","active","issuedate","effectivedate","expirationdate","address","city","state","zip","recordrefreshedon"
"1001640","PETRIT MARKU","INDIVIDUAL",,"BUON APPETITO","LRW.0004847","LRW","4847",,"RESTAURANT WINE & BEER","INACTIVE","CANCELLATION/NPI","0","2011-06-24T00:00:00.000","2011-06-24T00:00:00.000","2012-06-23T00:00:00.000","386 NORWICH WESTERLY RD","NORTH STONINGTON","CT","063591515","2012-03-26T00:00:00.000"
"1003734","LUCIANO ZAPF","INDIVIDUAL",,"FAIRFIELD PIZZA","LRW.0004848","LRW","4848",,"RESTAURANT WINE & BEER","ACTIVE","CURRENT","1","2011-11-22T00:00:00.000","2022-03-22T00:00:00.000","2023-03-21T00:00:00.000","1201 KINGS HWY","FAIRFIELD","CT","068245319","2022-03-23T00:00:00.000"
"1003924","TIAN GUI LIN","INDIVIDUAL",,"DI A SUSHI & MONGOLIAN GIRILL","LRW.0004849","LRW","4849",,"RESTAURANT WINE & BEER","INACTIVE","WITHDRAWN","0",,,,"5065 MAIN ST # FC09","TRUMBULL","CT","066114204","2012-07-19T00:00:00.000"
"1004745","NICOLAOS KANARAS","LIMITED LIABILITY COMPANY",,"T J'S RESTAURANT AND PIZZA","LRW.0004850","LRW","4850",,"RESTAURANT WINE & BEER","INACTIVE","CANCELLATION/NPI","0","2011-09-29T00:00:00.000","2018-09-29T00:00:00.000","2019-09-28T00:00:00.000","735 BOSTON POST RD","OLD SAYBROOK","CT","064752125","2019-09-05T00:00:00.000"
"1004753","IOANNIS K MARASIOTIS","LIMITED LIABILITY COMPANY",,"JOHNNY'S FAMILY RESTAURANT","LRW.0004851","LRW","4851",,"RESTAURANT WINE & BEER","INACTIVE",,"0","2011-07-14T00:00:00.000","2012-08-23T00:00:00.000","2013-07-13T00:00:00.000","385 BEAUMONT HWY","LEBANON","CT","062491146","2014-03-13T00:00:00.000"
"1005732","ANTHONY R ZUPPARDI III","INDIVIDUAL",,"TONY Z'S","LRW.0004852","LRW","4852",,"RESTAURANT WINE & BEER","INACTIVE",,"0","2011-09-02T00:00:00.000","2019-09-02T00:00:00.000","2021-01-01T00:00:00.000","1874 MIDDLETOWN AVE","NORTHFORD","CT","064721143","2021-01-15T00:00:00.000"
"1006776","MIN MING PAN","INDIVIDUAL",,"ICHIRO HIBACHI & SUSHI","LRW.0004853","LRW","4853",,"RESTAURANT WINE & BEER","INACTIVE","CANCELLATION/NPI","0","2012-01-25T00:00:00.000","2014-01-25T00:00:00.000","2015-01-24T00:00:00.000","900 WHITE PLAINS RD","TRUMBULL","CT","066115727","2014-12-03T00:00:00.000"
"1006841","PERSIO NUNEZ","INDIVIDUAL",,"RAMIREZ RESTAURANT","LRW.0004854","LRW","4854",,"RESTAURANT WINE & BEER","INACTIVE","CANCELLATION/NPI","0","2011-07-22T00:00:00.000","2021-11-23T00:00:00.000","2022-11-21T00:00:00.000","1234 E MAIN ST","BRIDGEPORT","CT","066081622","2022-07-13T00:00:00.000"
"1025167","MICHAEL R DEL GALLO","INDIVIDUAL",,"APOLLO PIZZA","LRW.0004855","LRW","4855",,"RESTAURANT WINE & BEER","INACTIVE","CANCELLATION/NPI","0","2011-08-11T00:00:00.000","2013-08-11T00:00:00.000","2014-08-10T00:00:00.000","775 HOPMEADOW ST","SIMSBURY","CT","060702206","2014-01-29T00:00:00.000"
"1026213","PALWINDER SINGH","INDIVIDUAL",,"TWO BROTHERS PIZZA RESTAURANT","LRW.0004856","LRW","4856",,"RESTAURANT WINE & BEER","INACTIVE",,"0","2011-10-27T00:00:00.000","2017-10-27T00:00:00.000","2018-10-26T00:00:00.000","962 PINE ST","BRISTOL","CT","060106915","2018-11-09T00:00:00.000"
