Report_No,Reported_Date,Reported Time,From_Date,From Time,To_Date,To Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Location 1,Firearm Used Flag  ,Neighborhood Census,Council Districts,County Boundary,Zip Codes
140086914,12/03/2014 12:00:00 AM,22:34,12/03/2014 12:00:00 AM,22:34,,,302,120,Armed Robbery,241,7000  PROSPECT AV,KANSAS CITY,,PJ5341,MPD,U,2,SUS,B,M,,"7000 PROSPECT AV
(38.999694229, -94.556855495)",Y,49,2,7,151
140018938,03/21/2014 12:00:00 AM,19:49,03/21/2014 12:00:00 AM,19:49,,,302,120,Armed Robbery,241,2100  E 67 TE,KANSAS CITY,,PJ5169,MPD,U,4,SUS,B,M,,"2100 E 67
(39.004626081, -94.562068715)",Y,49,2,7,151
140033010,05/15/2014 12:00:00 AM,5:15,05/15/2014 12:00:00 AM,5:00,,,302,120,Armed Robbery,635,7300  NE PARVIN RD,KANSAS CITY,,PC1343,SCP,U,2,SUS,W,F,,"7300 NE PARVIN RD
(39.168417094, -94.494873104)",Y,240,6,4,166
140071751,10/04/2014 12:00:00 AM,20:53,10/04/2014 12:00:00 AM,20:50,,,302,120,Armed Robbery,112,200  W 6 ST,KANSAS CITY,,PJ0652,CPD,U,3,VIC,W,M,29,"200 W 6 ST
(39.105900044, -94.623866444)",Y,,,5,34
140024266,04/11/2014 12:00:00 AM,22:38,04/11/2014 12:00:00 AM,22:38,,,1546,520,Weapons Law Violatio,123,E 22 ST/BROOKLYN AV,KANSAS CITY,,PJ1751,CPD,U,1,VIC,,,,"22 ST BROOKLYN AV
(39.102950303, -94.583075872)",Y,5,4,7,75
140018938,03/21/2014 12:00:00 AM,19:49,03/21/2014 12:00:00 AM,19:49,,,302,120,Armed Robbery,241,2100  E 67 TE,KANSAS CITY,,PJ5169,MPD,U,3,SUS,B,M,,"2100 E 67
(39.004626081, -94.562068715)",Y,49,2,7,151
140035922,05/26/2014 12:00:00 AM,2:08,05/26/2014 12:00:00 AM,2:08,,,302,120,Armed Robbery,315,400  N LAWNDALE AV,KANSAS CITY,,PJ0199,EPD,N,1,SUS,W,M,,"400 N LAWNDALE AV
(39.108612515, -94.515456314)",Y,192,4,7,76
140017394,03/15/2014 12:00:00 AM,21:04,03/15/2014 12:00:00 AM,21:04,,,302,120,Armed Robbery,113,W 13 ST/MAIN ST,KANSAS CITY,,PJ1084,CPD,U,1,SUS,B,M,50,"13 ST MAIN ST
(39.102950303, -94.583075872)",Y,5,4,7,75
140021601,04/01/2014 12:00:00 AM,20:23,04/01/2014 12:00:00 AM,19:30,,,302,120,Armed Robbery,211,5700  SWOPE PK,KANSAS CITY,,PJ4596,MPD,U,1,VIC,B,M,,"5700 SWOPE PK
(39.022020841, -94.541755994)",Y,175,2,7,157
140023827,04/10/2014 12:00:00 AM,12:30,04/10/2014 12:00:00 AM,12:30,,,401,13A,Aggravated Assault (,533,HOLMES RD/I 435 HW,KANSAS CITY,,PJ6771,SPD,U,1,VIC,W,F,64,"435 HW
(39.102950303, -94.583075872)",Y,5,4,7,75
