Report_No,Reported_Date,Reported_Time,From_Date,From_Time,To_Date,To_Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Involvement,Race,Sex,Age,Firearm Used Flag,Location
KC19098949,12/31/2019,20:07,12/31/2019,17:08,,,Assault (Aggravated),13A,Aggravated Assault,112,900  BALTIMORE AVE,KANSAS CITY,64105,PJ0860,CPD,N,VIC,W,M,32,false,"900  BALTIMORE AVE
KANSAS CITY 64105
(39.103347, -94.584171)"
KC19098967,12/31/2019,22:06,12/31/2019,22:06,,,Assault (Aggravated),13A,Aggravated Assault,212,BLUE PKWY and EASTWOOD TRFY,KANSAS CITY,64129,PJ4311,MPD,N,VIC,B,F,29,false,
KC19098977,12/31/2019,23:21,12/31/2019,23:21,,,Assault (Aggravated),13A,Aggravated Assault,333,4000  BELLEFONTAINE AVE,KANSAS CITY,64127,PJ3285,EPD,N,VIC,W,F,,true,
KC19098977,12/31/2019,23:21,12/31/2019,23:21,,,Assault (Aggravated),13A,Aggravated Assault,333,4000  BELLEFONTAINE AVE,KANSAS CITY,64127,PJ3285,EPD,N,VIC,W,F,58,true,
KC19098977,12/31/2019,23:21,12/31/2019,23:21,,,Assault (Aggravated),13A,Aggravated Assault,333,4000  BELLEFONTAINE AVE,KANSAS CITY,64127,PJ3285,EPD,N,VIC,W,F,40,true,
KC20000004,12/31/2019,23:57,12/31/2019,23:57,,,Assault (Aggravated),13A,Aggravated Assault,332,3300  ASKEW AVE,KANSAS CITY,64128,PJ2742,EPD,N,VIC,B,F,34,true,"3300  ASKEW AVE
KANSAS CITY 64128
(39.065794, -94.54156)"
KC19098963,12/31/2019,21:00,12/31/2019,20:45,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,124,2700  WABASH,KANSAS CITY,64109,,CPD,Y,VIC,B,F,55,false,
KC19098920,12/31/2019,16:38,12/31/2019,16:38,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,311,200  N MERSINGTON AVE,KANSAS CITY,64123,PJ0261,EPD,Y,VIC,B,M,32,false,"200  N MERSINGTON AVE
KANSAS CITY 64123
(39.114065, -94.536221)"
KC19098804,12/31/2019,7:37,12/31/2019,7:37,,,Assault (Aggravated),13A,Aggravated Assault,213,6700  MANCHESTER AVE,KANSAS CITY,64129,PJ5274,MPD,N,VIC,W,M,31,false,
KC19098910,12/31/2019,15:48,12/31/2019,15:48,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,631,4200  N LOCUST ST,KANSAS CITY,64116,,SCP,Y,VIC,W,F,21,false,"4200  N LOCUST ST
KANSAS CITY 64116
(39.170331, -94.574954)"
KC19098626,12/30/2019,11:17,12/30/2019,11:17,,,Kidnapping,13A,Aggravated Assault,241,6600  WALROND AVE,KANSAS CITY,64130,PJ5121,MPD,Y,VIC,B,F,26,false,
KC19098626,12/30/2019,11:17,12/30/2019,11:17,,,Kidnapping,13A,Aggravated Assault,241,6600  WALROND AVE,KANSAS CITY,64130,PJ5121,MPD,Y,VIC,B,F,,false,
KC19098716,12/30/2019,16:52,12/30/2019,16:52,,,Assault (Aggravated),13A,Aggravated Assault,331,3100  PROSPECT AVE,KANSAS CITY,,PJ2572,EPD,N,VIC,B,M,27,true,"3100  PROSPECT AVE
KANSAS CITY
(39.069546, -94.552856)"
KC19098743,12/30/2019,19:49,12/30/2019,18:49,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,631,3100  NE 37TH ST,KANSAS CITY,64117,,SCP,Y,VIC,B,F,22,true,"3100  NE 37TH ST
KANSAS CITY 64117
(39.161652, -94.543882)"
KC19098562,12/30/2019,2:33,12/30/2019,2:33,,,Assault (Aggravated),13A,Aggravated Assault,121,INDEPENDENCE BLVD and PROSPECT AVE,KANSAS CITY,64124,PJ0573,CPD,N,VIC,B,M,34,true,"INDEPENDENCE BLVD and PROSPECT AVE
KANSAS CITY 64124
(39.106302, -94.551048)"
KC19098372,12/29/2019,2:10,12/29/2019,1:00,,,Domestic Violence Assault (Non-Aggravated),13A,Aggravated Assault,125,1300  E ARMOUR BLVD,KANSAS CITY,,PJ2779,CPD,Y,VIC,B,F,48,false,"1300  E ARMOUR BLVD
KANSAS CITY
(39.063159, -94.56892)"
KC19098368,12/29/2019,1:18,12/29/2019,1:17,,,Assault (Aggravated),13A,Aggravated Assault,532,11200  APPLEWOOD DR,KANSAS CITY,64134,PJ7072,SPD,N,VIC,W,F,26,false,"11200  APPLEWOOD DR
KANSAS CITY 64134
(38.921087, -94.516245)"
KC19098424,12/29/2019,10:44,12/29/2019,10:44,,,Assault (Aggravated),13A,Aggravated Assault,323,2000  ASKEW AVE,KANSAS CITY,64127,,EPD,N,VIC,W,M,26,false,"2000  ASKEW AVE
KANSAS CITY 64127
(39.087581, -94.540441)"
KC19098462,12/29/2019,13:45,12/29/2019,13:42,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,634,5400  NE 50TH ST,KANSAS CITY,64119,,SCP,Y,VIC,W,M,20,false,"5400  NE 50TH ST
KANSAS CITY 64119
(39.184337, -94.51648)"
KC19098501,12/29/2019,17:00,12/29/2019,16:55,,,Assault (Aggravated),13A,Aggravated Assault,143,4100  FOREST AVE,KANSAS CITY,64110,PJ3315,CPD,N,VIC,B,M,67,false,"4100  FOREST AVE
KANSAS CITY 64110
(39.052345, -94.571014)"
KC19098394,12/29/2019,5:58,12/29/2019,5:58,,,Assault (Aggravated),13A,Aggravated Assault,341,E TRUMAN RD and WINCHESTER AVE,KANSAS CITY,64126,PJ1388,EPD,N,VIC,W,M,,true,
KC19098528,12/29/2019,20:21,12/29/2019,20:21,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,345,11800  E 59TH TER,KANSAS CITY,,PJ4871,EPD,Y,VIC,B,F,28,true,"11800  E 59TH TER
KANSAS CITY
(39.013979, -94.442605)"
KC19098368,12/29/2019,1:18,12/29/2019,1:17,,,Assault (Aggravated),13A,Aggravated Assault,532,11200  APPLEWOOD DR,KANSAS CITY,64134,PJ7072,SPD,N,VIC,B,F,53,false,"11200  APPLEWOOD DR
KANSAS CITY 64134
(38.921087, -94.516245)"
KC19098368,12/29/2019,1:18,12/29/2019,1:17,,,Assault (Aggravated),13A,Aggravated Assault,532,11200  APPLEWOOD DR,KANSAS CITY,64134,PJ7072,SPD,N,VIC,B,M,23,false,"11200  APPLEWOOD DR
KANSAS CITY 64134
(38.921087, -94.516245)"
KC19098368,12/29/2019,1:18,12/29/2019,1:17,,,Assault (Aggravated),13A,Aggravated Assault,532,11200  APPLEWOOD DR,KANSAS CITY,64134,PJ7072,SPD,N,VIC,B,M,,false,"11200  APPLEWOOD DR
KANSAS CITY 64134
(38.921087, -94.516245)"
KC19098394,12/29/2019,5:58,12/29/2019,5:58,,,Assault (Aggravated),13A,Aggravated Assault,341,E TRUMAN RD and WINCHESTER AVE,KANSAS CITY,64126,PJ1388,EPD,N,VIC,W,M,38,true,
KC19098306,12/28/2019,16:59,12/28/2019,16:59,,,Domestic Violence Assault (Aggravated),13A,Aggravated Assault,633,1500  NE VIVION RD,KANSAS CITY,64116,,SCP,Y,VIC,B,F,22,true,
KC19098184,12/28/2019,4:09,12/28/2019,3:50,12/28/2019,4:50,Assault (Aggravated),13A,Aggravated Assault,323,1800  KANSAS AVE,KANSAS CITY,64126,PJ1693,EPD,N,VIC,B,F,51,false,"1800  KANSAS AVE
KANSAS CITY 64126
(39.090116, -94.548383)"
KC19098350,12/28/2019,22:09,12/28/2019,22:00,12/28/2019,22:09,Assault (Aggravated),13A,Aggravated Assault,114,2900  SOUTHWEST BLVD,KANSAS CITY,,,CPD,N,VIC,W,M,61,false,"2900  SOUTHWEST BLVD
KANSAS CITY
(39.075014, -94.603738)"
