"incidentnum","servyr","servnumid","primaryoc","moniker","age_class","from_age","to_age","race","ethnic","sex","height","weight","build","complexion","eyes","glasses","hair","hairlenght","voice","facialhair","facialhaircolor","peculiarities","comment","created_on","updated_on"
"245209-2016","2016","245209-2016-01",,,,,,,,,,,,,,,,,,,,,,"2016-10-13 09:24:54.0000000","2016-10-13 09:24:54.0000000"
"245209-2018","2018","245209-2018-01","MB-54990007-V11,F3-48010020-U275",,,"1","99","Unknown",,"Unknown",,,,,,,,,,,,,,"2018-11-15 02:15:26.0000000","2018-11-15 02:15:45.0000000"
