"opendata_person_number","program_type_name","program_begin_date","program_end_date","program_status_name","successful_completion_value","sex","age_range","race_name","zipcode","unique_id"
"1100183","AB109","2019-02-28T00:00:00.000","2020-06-17T00:00:00.000","Successful","1","M","18 to 24","White","94947","1100183AB109286172020S1"
"6023788","REST","2019-10-22T00:00:00.000","2020-07-01T00:00:00.000","Neutral","1","F","35 to 44","Hispanic","94949","6023788REST22712020N1"
"5798323","PAROLE","2020-07-07T00:00:00.000","2020-07-07T00:00:00.000","Neutral","1","M","35 to 44","Hispanic","94901","5798323PAROLE7772020N1"
"5895557","AB109","2016-10-12T00:00:00.000","2020-07-01T00:00:00.000","Successful","1","M","25 to 34","Hispanic","94102","5895557AB10912712020S1"
"3397053","AOWP","2020-03-16T00:00:00.000","2020-06-29T00:00:00.000","Bench Warrant","0","M","25 to 34","White","94949","3397053AOWP166292020B0"
"5523001","SUPV","2019-12-13T00:00:00.000","2020-07-07T00:00:00.000","Successful","1","M","25 to 34","White","94903","5523001SUPV13772020S1"
"157636","REST","2020-03-06T00:00:00.000","2020-07-07T00:00:00.000","Neutral","1","M","45 to 54","White","94901","157636REST6772020N1"
"918037","AOWP","2020-01-23T00:00:00.000","2020-07-08T00:00:00.000","Bench Warrant","0","M","35 to 44","Black","94808","918037AOWP23782020B0"
"1524511","REST","2020-02-14T00:00:00.000","2020-06-30T00:00:00.000","Neutral","1","F","45 to 54","White","94901","1524511REST146302020N1"
"7227560","SUPV","2020-02-28T00:00:00.000","2020-07-02T00:00:00.000","Successful","1","M","25 to 34","White","94939","7227560SUPV28722020S1"
"8231648","REST","2019-10-22T00:00:00.000","2020-07-01T00:00:00.000","Neutral","1","M","25 to 34","Black","94708","8231648REST22712020N1"
"9872459","SUPV","2018-12-11T00:00:00.000","2020-07-10T00:00:00.000","Transfer: Jurisdict","1","F","25 to 34","White","95439","9872459SUPV117102020T1"
"4050192","SUPV","2019-04-04T00:00:00.000","2020-11-19T00:00:00.000","Successful","1","M","25 to 34","Black","","4050192SUPV411192020S1"
"2460450","SUPV","2018-03-28T00:00:00.000","2020-07-06T00:00:00.000","Transfer: Jurisdict","1","M","35 to 44","White","95662","2460450SUPV28762020T1"
"4504492","SUPV","2019-09-23T00:00:00.000","2020-06-30T00:00:00.000","Transfer: Jurisdict","1","M","18 to 24","Hispanic","95821","4504492SUPV236302020T1"
"3288681","SUPV","2019-04-17T00:00:00.000","2020-07-02T00:00:00.000","Unsuccessful","0","M","55 to 64","White","94949","3288681SUPV17722020U0"
"1325829","SUPV","2018-10-24T00:00:00.000","2020-07-02T00:00:00.000","Transfer: Jurisdict","1","M","45 to 54","White","94112","1325829SUPV24722020T1"
"3707992","REST","2020-04-28T00:00:00.000","2020-06-30T00:00:00.000","Neutral","1","M","55 to 64","White","94904","3707992REST286302020N1"
"4825110","AB109","2020-01-27T00:00:00.000","2020-06-29T00:00:00.000","Transfer: Jurisdict","1","M","25 to 34","Hispanic","94901","4825110AB109276292020T1"
"3306687","SUPV","2019-01-30T00:00:00.000","2020-07-10T00:00:00.000","Transfer: Jurisdict","1","M","25 to 34","Black","94804","3306687SUPV307102020T1"
"9252188","SUPV","2019-02-01T00:00:00.000","2020-07-06T00:00:00.000","Termination: Prison","0","F","35 to 44","White","93631","9252188SUPV1762020T0"
"956997","AOWP","2020-02-14T00:00:00.000","2020-07-01T00:00:00.000","Successful","1","M","25 to 34","Hispanic","94801","956997AOWP14712020S1"
"7963418","AOWP","2020-03-03T00:00:00.000","2020-11-18T00:00:00.000","Bench Warrant","0","M","35 to 44","White","95409","7963418AOWP311182020B0"
"3584607","AOWP","2020-03-16T00:00:00.000","2020-06-29T00:00:00.000","Bench Warrant","0","M","45 to 54","Black","94965","3584607AOWP166292020B0"
"7963418","AOWP","2020-02-05T00:00:00.000","2020-11-18T00:00:00.000","Bench Warrant","0","M","35 to 44","White","95409","7963418AOWP511182020B0"
"4608549","SUPV","2017-11-08T00:00:00.000","2020-11-06T00:00:00.000","Successful","1","M","25 to 34","Hispanic","60804","4608549SUPV81162020S1"
"1625309","SUPV","2019-07-03T00:00:00.000","2020-07-07T00:00:00.000","Termination: Prison","0","M","25 to 34","White","94963","1625309SUPV3772020T0"
"2106241","SUPV","2016-05-02T00:00:00.000","2020-07-02T00:00:00.000","Successful","1","M","25 to 34","White","94903","2106241SUPV2722020S1"
"967627","AB109","2019-11-05T00:00:00.000","2020-11-18T00:00:00.000","Transfer: Jurisdict","1","M","35 to 44","White","95376","967627AB109511182020T1"
"5326982","AOWP","2019-11-19T00:00:00.000","2020-11-19T00:00:00.000","Successful","1","M","35 to 44","Hispanic","94901","5326982AOWP1911192020S1"
"8308902","AB109","2019-07-29T00:00:00.000","2020-11-19T00:00:00.000","Unsuccessful","0","F","35 to 44","White","94547","8308902AB1092911192020U0"
"4543988","AOWP","2020-07-21T00:00:00.000","2020-11-20T00:00:00.000","Successful","1","M","35 to 44","Hispanic","94901","4543988AOWP2111202020S1"
"2400349","SUPV","2017-11-20T00:00:00.000","2020-11-17T00:00:00.000","Successful","1","M","45 to 54","White","94965","2400349SUPV2011172020S1"
"1401434","SUPV","2020-07-30T00:00:00.000","2020-11-20T00:00:00.000","Transfer: Jurisdict","1","M","25 to 34","Asian","95823","1401434SUPV3011202020T1"
"2907141","PAROLE","2020-10-09T00:00:00.000","2020-11-18T00:00:00.000","Unsuccessful","0","M","35 to 44","White","94606","2907141PAROLE911182020U0"
"786546","SUPV","2020-04-16T00:00:00.000","2020-06-29T00:00:00.000","Successful","1","M","45 to 54","White","94947","786546SUPV166292020S1"
"6230478","PAROLE","2020-11-04T00:00:00.000","2020-11-18T00:00:00.000","Unsuccessful","0","M","65 or older","White","94960","6230478PAROLE411182020U0"
"2271462","AB109","2018-12-03T00:00:00.000","2020-11-18T00:00:00.000","Successful","1","M","45 to 54","White","94947","2271462AB109311182020S1"
"5800204","SUPV","2017-11-22T00:00:00.000","2020-11-20T00:00:00.000","Successful","1","M","45 to 54","White","","5800204SUPV2211202020S1"
"22072","AOWP","2020-02-06T00:00:00.000","2020-07-22T00:00:00.000","Successful","1","M","18 to 24","White","95422","22072AOWP67222020S1"
"9246312","AB109","2020-05-11T00:00:00.000","2020-11-24T00:00:00.000","Unsuccessful","0","M","35 to 44","White","","9246312AB1091111242020U0"
"9246312","AB109","2020-05-04T00:00:00.000","2020-11-24T00:00:00.000","Unsuccessful","0","M","35 to 44","White","","9246312AB109411242020U0"
"8193485","AOWP","2020-02-14T00:00:00.000","2020-07-16T00:00:00.000","Bench Warrant","0","M","25 to 34","Hispanic","94901","8193485AOWP147162020B0"
"1782516","SUPV","2020-02-14T00:00:00.000","2020-07-23T00:00:00.000","Successful","1","M","35 to 44","Black","94134","1782516SUPV147232020S1"
"1208384","AOWP","2019-09-04T00:00:00.000","2020-07-16T00:00:00.000","Bench Warrant","0","M","25 to 34","Hispanic","94901","1208384AOWP47162020B0"
"8277615","AOWP","2019-11-27T00:00:00.000","2020-07-16T00:00:00.000","Bench Warrant","0","F","55 to 64","Black","94945","8277615AOWP277162020B0"
"5337720","AOWP","2019-11-22T00:00:00.000","2020-07-20T00:00:00.000","Successful","1","F","25 to 34","White","94903","5337720AOWP227202020S1"
"7342731","AOWP","2020-03-02T00:00:00.000","2020-07-23T00:00:00.000","Bench Warrant","0","M","25 to 34","Hispanic","94801","7342731AOWP27232020B0"
"4115523","SUPV","2020-01-22T00:00:00.000","2020-07-24T00:00:00.000","Unsuccessful","0","M","35 to 44","White","","4115523SUPV227242020U0"
"7461310","SUPV","2018-02-09T00:00:00.000","2020-07-24T00:00:00.000","Successful","1","M","35 to 44","Black","94903","7461310SUPV97242020S1"
"9889141","AB109","2013-10-21T00:00:00.000","2020-07-20T00:00:00.000","Transfer: Jurisdict","1","F","55 to 64","Asian","95687","9889141AB109217202020T1"
"5204513","SUPV","2017-07-24T00:00:00.000","2020-07-21T00:00:00.000","Successful, no $$","1","M","25 to 34","Hispanic","94901","5204513SUPV247212020S1"
"2497717","SUPV","2017-07-12T00:00:00.000","2020-07-22T00:00:00.000","Successful","1","F","45 to 54","Black","","2497717SUPV127222020S1"
"2497717","PAROLE","2018-01-24T00:00:00.000","2020-07-22T00:00:00.000","Successful","1","F","45 to 54","Black","","2497717PAROLE247222020S1"
"3018585","REST","2020-01-07T00:00:00.000","2020-11-13T00:00:00.000","Bench Warrant","0","F","25 to 34","White","07051","3018585REST711132020B0"
"1863527","SUPV","2019-10-30T00:00:00.000","2020-07-22T00:00:00.000","Transfer: Jurisdict","1","F","25 to 34","Hispanic","95401","1863527SUPV307222020T1"
"9682204","SUPV","2019-10-30T00:00:00.000","2020-07-22T00:00:00.000","Transfer: Jurisdict","1","M","25 to 34","White","94066","9682204SUPV307222020T1"
"7293716","SUPV","2018-04-25T00:00:00.000","2020-07-15T00:00:00.000","Transfer: Jurisdict","1","F","18 to 24","White","94591","7293716SUPV257152020T1"
"1788787","SUPV","2020-01-15T00:00:00.000","2020-07-24T00:00:00.000","Transfer: Jurisdict","1","M","18 to 24","Hispanic","94801","1788787SUPV157242020T1"
"5330821","AOWP","2019-10-30T00:00:00.000","2020-07-24T00:00:00.000","Successful","1","M","35 to 44","White","94806","5330821AOWP307242020S1"
"1458374","AOWP","2020-01-10T00:00:00.000","2020-12-01T00:00:00.000","Successful, no $$","1","M","35 to 44","Hispanic","94102","1458374AOWP101212020S1"
"8065745","REST","2019-12-11T00:00:00.000","2020-07-21T00:00:00.000","Terminated by Court","0","M","18 to 24","Hispanic","94901","8065745REST117212020T0"
"661517","AOWP","2020-02-10T00:00:00.000","2020-07-16T00:00:00.000","Bench Warrant","0","M","18 to 24","Hispanic","94901","661517AOWP107162020B0"
"2464177","AB109","2017-03-03T00:00:00.000","2020-07-17T00:00:00.000","Unsuccessful","0","M","35 to 44","Hispanic","94901","2464177AB10937172020U0"
"1307499","SUPV","2020-10-01T00:00:00.000","2020-12-01T00:00:00.000","Unsuccessful","0","M","18 to 24","Hispanic","94608","1307499SUPV11212020U0"
"4772554","SUPV","2019-10-18T00:00:00.000","2020-11-12T00:00:00.000","Transfer: Jurisdict","1","F","25 to 34","Unknown","94805","4772554SUPV1811122020T1"
"6658810","REST","2019-11-15T00:00:00.000","2020-11-12T00:00:00.000","Unsuccessful","0","F","18 to 24","Black","94568","6658810REST1511122020U0"
"8578526","REST","2018-05-22T00:00:00.000","2020-11-30T00:00:00.000","Neutral","1","F","35 to 44","White","","8578526REST2211302020N1"
"1014134","SUPV","2018-07-23T00:00:00.000","2020-11-24T00:00:00.000","Successful","1","M","45 to 54","Hispanic","94945","1014134SUPV2311242020S1"
"123975","SUPV","2017-11-29T00:00:00.000","2020-11-27T00:00:00.000","Successful","1","M","35 to 44","Hispanic","94947","123975SUPV2911272020S1"
"5867626","AB109","2019-09-16T00:00:00.000","2020-11-21T00:00:00.000","Successful","1","F","35 to 44","White","94947","5867626AB1091611212020S1"
"8979660","SUPV","2019-09-13T00:00:00.000","2020-12-01T00:00:00.000","Successful","1","F","35 to 44","White","94903","8979660SUPV131212020S1"
"6034101","AOWP","2013-07-18T00:00:00.000","2020-12-01T00:00:00.000","Successful","1","M","25 to 34","Hispanic","94589","6034101AOWP181212020S1"
"5877342","SUPV","2019-01-18T00:00:00.000","2020-07-24T00:00:00.000","Unsuccessful","0","M","35 to 44","Black","","5877342SUPV187242020U0"
"9772590","SUPV","2017-11-22T00:00:00.000","2020-11-23T00:00:00.000","Successful","1","M","25 to 34","White","","9772590SUPV2211232020S1"
"2121756","SUPV","2019-04-17T00:00:00.000","2020-11-23T00:00:00.000","Bench Warrant","0","F","18 to 24","Hispanic","95624","2121756SUPV1711232020B0"
"2121756","SUPV","2020-06-16T00:00:00.000","2020-11-23T00:00:00.000","Bench Warrant","0","F","18 to 24","Hispanic","95624","2121756SUPV1611232020B0"
"1503428","SUPV","2019-12-11T00:00:00.000","2020-11-24T00:00:00.000","Transfer: Jurisdict","1","F","35 to 44","Hispanic","94806","1503428SUPV1111242020T1"
"9703838","AOWP","2019-08-08T00:00:00.000","2020-11-25T00:00:00.000","Successful","1","M","25 to 34","Hispanic","94901","9703838AOWP811252020S1"
"8010748","SUPV","2018-12-12T00:00:00.000","2020-11-25T00:00:00.000","Neutral","1","F","25 to 34","White","94960","8010748SUPV1211252020N1"
"5380468","PAROLE","2020-07-20T00:00:00.000","2020-07-20T00:00:00.000","Neutral","1","M","45 to 54","White","94941","5380468PAROLE207202020N1"
"8010748","SUPV","2019-04-30T00:00:00.000","2020-11-25T00:00:00.000","Neutral","1","F","25 to 34","White","94960","8010748SUPV3011252020N1"
"7040109","PAROLE","2020-07-20T00:00:00.000","2020-07-20T00:00:00.000","Neutral","1","M","45 to 54","Other","94920","7040109PAROLE207202020N1"
"5712312","REST","2019-08-23T00:00:00.000","2020-07-23T00:00:00.000","Neutral","1","M","45 to 54","White","94949","5712312REST237232020N1"
"6308362","AOWP","2019-09-03T00:00:00.000","2020-11-30T00:00:00.000","Successful","1","M","45 to 54","Hispanic","94404","6308362AOWP311302020S1"
"1494022","REST","2020-07-20T00:00:00.000","2020-07-31T00:00:00.000","Neutral","1","M","35 to 44","White","94901","1494022REST207312020N1"
"553245","REST","2020-06-12T00:00:00.000","2020-08-03T00:00:00.000","Neutral","1","F","35 to 44","Black","94801","553245REST12832020N1"
"283808","SUPV","2018-01-02T00:00:00.000","2020-07-29T00:00:00.000","Successful","1","M","35 to 44","White","94950","283808SUPV27292020S1"
"9252188","AB109","2020-07-13T00:00:00.000","2020-08-03T00:00:00.000","Transfer: Jurisdict","1","F","35 to 44","White","93631","9252188AB10913832020T1"
"6171239","SUPV","2018-06-29T00:00:00.000","2020-07-27T00:00:00.000","Successful, no $$","1","M","55 to 64","White","94945","6171239SUPV297272020S1"
"5447587","SUPV","2019-09-06T00:00:00.000","2020-07-31T00:00:00.000","Successful","1","M","25 to 34","Hispanic","94903","5447587SUPV67312020S1"
"1131108","SUPV","2020-01-21T00:00:00.000","2020-07-31T00:00:00.000","Successful","1","M","35 to 44","White","94901","1131108SUPV217312020S1"
"3070857","AOWP","2020-01-14T00:00:00.000","2020-07-30T00:00:00.000","Successful, no $$","1","M","45 to 54","Hispanic","94901","3070857AOWP147302020S1"
"2555174","AOWP","2020-03-02T00:00:00.000","2020-07-30T00:00:00.000","Successful","1","F","18 to 24","Hispanic","94901","2555174AOWP27302020S1"
"9701817","REST","2020-06-18T00:00:00.000","2020-08-04T00:00:00.000","Neutral","1","M","18 to 24","Black","94925","9701817REST18842020N1"
"2121756","REST","2020-06-18T00:00:00.000","2020-08-04T00:00:00.000","Neutral","1","F","18 to 24","Hispanic","95624","2121756REST18842020N1"
"3965660","SUPV","2019-09-17T00:00:00.000","2020-08-04T00:00:00.000","Successful","1","M","25 to 34","White","95425","3965660SUPV17842020S1"
"1170638","REST","2020-08-28T00:00:00.000","2020-12-04T00:00:00.000","Neutral","1","M","35 to 44","Hispanic","94947","1170638REST281242020N1"
"8652122","SUPV","2020-05-26T00:00:00.000","2020-07-30T00:00:00.000","Successful","1","F","18 to 24","Other","94949","8652122SUPV267302020S1"
"549595","REST","2020-06-12T00:00:00.000","2020-07-31T00:00:00.000","Neutral","1","F","55 to 64","White","94945","549595REST127312020N1"
"9111388","SUPV","2020-04-16T00:00:00.000","2020-07-31T00:00:00.000","Successful","1","F","35 to 44","Hispanic","94061","9111388SUPV167312020S1"
